,t_0_n,NPS_n
182,0.01349548860788067,1260.0
183,0.01349548860788067,1260.0
184,0.01349548860788067,1260.0
185,0.01349548860788067,1260.0
186,0.01349548860788067,1260.0
187,0.01349548860788067,1260.0
188,0.01349548860788067,1260.0
189,0.01349548860788067,1260.0
190,0.01349548860788067,1260.0
191,0.01349548860788067,1260.0
192,0.01349548860788067,1260.0
193,0.01349548860788067,1260.0
194,0.01349548860788067,1260.0
195,0.01349548860788067,1260.0
196,0.01349548860788067,1260.0
197,0.01349548860788067,1260.0
198,0.01349548860788067,1260.0
199,0.017202860197843683,1613.0
200,0.017202860197843683,1613.0
201,0.017202860197843683,1613.0
202,0.017202860197843683,1613.0
203,0.017202860197843683,1613.0
204,0.017202860197843683,1613.0
205,0.017202860197843683,1613.0
206,0.017202860197843683,1613.0
