,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
10629,18543196.0,3.0,3.0,-13.344,1.6194,12.036,-13.31,1.6232,12.001,0.0032402,0.00099884,0.049215,0.05118,14.0,1.0
10630,18549974.0,1.0,3.0,10.294,10.489,5.2207,8.3122,11.825,5.2318,0.092371,0.084742,0.054842,0.07015,2.0,0.0
10631,18549974.0,3.0,3.0,8.3105,11.824,5.2324,9.3809,9.5716,10.239,0.051918,0.01297,0.070178,0.12922,2.0,0.0
10632,18549974.0,5.0,3.0,9.4571,9.846,9.6842,9.4583,9.8417,9.684,0.0012571,0.00079639,0.12055,0.12078,2.0,1.0
10633,18549974.0,7.0,3.0,9.3514,10.591,7.1971,9.3609,10.567,7.1988,0.0029315,0.00095607,0.092441,0.093452,2.0,1.0
10634,18549974.0,9.0,3.0,8.0505,10.035,8.0277,8.9906,12.069,6.0287,0.33492,0.33169,0.032477,0.045046,2.0,0.0
10635,18549974.0,11.0,3.0,8.3731,10.733,7.3416,8.3726,10.728,7.3299,0.0017438,0.00095368,0.03679,0.037409,2.0,1.0
10636,18552969.0,1.0,3.0,10.968,-6.7886,-14.521,12.195,-7.1047,-16.5,0.56657,0.56477,0.037906,0.046808,6.0,0.0
10637,18552969.0,3.0,3.0,12.212,-7.1514,-16.5,13.352,-6.4918,-15.194,0.20593,0.20327,0.047133,0.055953,6.0,0.0
10638,18557089.0,1.0,3.0,13.028,3.3851,12.227,14.461,3.5809,11.975,0.52354,0.52193,0.031318,0.036948,4.0,0.0
10639,18557089.0,3.0,3.0,14.488,3.5664,11.969,13.71,1.1906,6.6238,0.32477,0.31801,0.037124,0.062,4.0,0.0
10640,18557608.0,1.0,3.0,3.7233,12.614,1.5187,4.8253,14.52,1.0697,0.44051,0.43826,0.046995,0.05588,1.0,0.0
10641,18557608.0,3.0,3.0,4.734,14.362,1.1069,4.7322,14.363,1.1083,0.0011315,0.00098839,0.055144,0.055291,1.0,1.0
10642,18557767.0,1.0,3.0,-9.0634,11.107,16.5,-9.7991,11.836,15.727,0.44346,0.44153,0.032913,0.038018,16.0,0.0
10643,18557767.0,3.0,3.0,-9.7986,11.837,15.727,-9.8666,11.761,15.607,0.011179,0.00096861,0.038034,0.043481,16.0,0.0
10644,18557767.0,5.0,3.0,-9.8657,11.752,15.577,-9.8656,11.752,15.576,0.0011065,0.00091589,0.042347,0.042433,16.0,1.0
10645,18566176.0,1.0,3.0,-7.8683,-10.371,-7.0237,-7.7933,-10.806,-7.0674,0.031305,0.02777,0.099614,0.10411,11.0,0.0
10646,18566176.0,3.0,3.0,-7.7933,-10.807,-7.0674,-8.1371,-11.67,-7.5586,0.025396,0.019424,0.10411,0.11636,11.0,0.0
10647,18566176.0,5.0,3.0,-7.969,-11.202,-7.3229,-7.9627,-11.201,-7.327,0.0018034,0.00088254,0.10973,0.11009,11.0,1.0
10648,18566962.0,1.0,3.0,8.5125,11.946,-11.492,8.0231,11.53,-11.342,0.19701,0.19619,0.036233,0.039411,2.0,0.0
10649,18566962.0,3.0,3.0,8.0227,11.529,-11.342,8.7677,9.5661,-11.006,0.19363,0.18871,0.039415,0.049716,2.0,0.0
10650,18566962.0,5.0,3.0,7.7942,10.85,-11.138,9.1576,12.068,-10.964,1.0528,1.051,0.031279,0.037759,2.0,0.0
10651,18566962.0,7.0,3.0,7.7937,10.831,-11.127,8.0991,11.628,-11.245,0.92579,0.92451,0.031233,0.034306,2.0,0.0
10652,18567267.0,1.0,3.0,12.786,-3.0828,-11.925,15.139,-2.2416,-11.556,0.37894,0.37577,0.035448,0.04574,5.0,0.0
10653,18588211.0,1.0,3.0,-4.1812,-14.316,-16.5,-5.572,-14.275,-16.469,0.038971,0.024998,0.051936,0.06576,10.0,0.0
10654,18588211.0,3.0,3.0,-5.5332,-14.285,-16.452,-5.5336,-14.283,-16.45,0.0012015,0.00095616,0.065286,0.065433,10.0,1.0
10655,18588211.0,5.0,3.0,-5.1931,-14.307,-16.387,-5.1937,-14.291,-16.377,0.002348,0.0009277,0.061603,0.062583,10.0,1.0
10656,18588835.0,1.0,3.0,10.095,10.061,-2.0589,10.329,10.909,-2.3441,1.1424,1.141,0.031828,0.03507,2.0,0.0
10657,18588835.0,3.0,3.0,10.191,10.41,-2.1761,10.128,10.381,-2.1994,0.0043945,0.00096348,0.03316,0.036094,2.0,1.0
10658,18591373.0,1.0,3.0,-14.443,-2.1846,16.5,-15.077,-2.0078,15.586,0.88937,0.88876,0.040089,0.044123,13.0,0.0
10659,18591922.0,1.0,3.0,10.974,7.3395,0.80144,11.662,8.1954,0.93211,0.94203,0.94063,0.029648,0.033589,3.0,0.0
10660,18591922.0,3.0,3.0,11.728,8.2247,0.97102,13.475,6.9291,0.91428,0.23336,0.23079,0.034132,0.044112,3.0,0.0
10661,18595512.0,1.0,3.0,-12.758,-3.0315,-7.7855,-15.095,-2.0614,-7.2754,0.5524,0.55044,0.043539,0.05336,13.0,0.0
10662,18604398.0,1.0,3.0,7.85,-10.426,-3.0541,8.5832,-11.977,-2.5615,0.48282,0.48116,0.029199,0.036141,7.0,0.0
10663,18606475.0,1.0,3.0,1.2687,14.043,12.932,1.27,14.105,12.948,0.74026,0.74021,0.035559,0.035792,0.0,0.0
10664,18606475.0,3.0,3.0,1.269,14.151,12.956,0.14302,15.362,13.083,0.56645,0.56523,0.03598,0.042263,0.0,0.0
10665,18606475.0,5.0,3.0,0.77799,14.679,13.011,0.78104,14.682,13.012,0.0012789,0.00099871,0.038719,0.038936,0.0,1.0
10666,18608869.0,1.0,3.0,1.254,-14.301,5.9186,-0.74196,-15.131,8.1343,0.58671,0.58264,0.043416,0.055083,9.0,0.0
10667,18612413.0,1.0,3.0,-10.962,6.8189,6.373,-13.472,6.9021,5.7469,0.28545,0.28143,0.044014,0.055271,15.0,0.0
