,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Detector_no,Delta_ray_flag
16203,12005822.0,1.0,3.0,5.7154,-14.153,5.7976,3.6272,-12.821,5.3523,0.11868,0.11337,0.037229,0.051627,8.0,0.0
16204,12006526.0,1.0,3.0,-5.4712,-12.158,-12.594,-5.8752,-13.96,-12.743,0.60872,0.60707,0.034319,0.041266,10.0,0.0
16205,12009215.0,1.0,3.0,-3.5568,13.146,-9.4581,-4.0712,14.274,-9.8016,1.0335,1.0303,0.033797,0.038345,17.0,0.0
16206,12009215.0,3.0,3.0,-3.7852,12.517,-9.0984,-4.3702,14.436,-8.8849,1.0418,1.0387,0.032114,0.039242,17.0,0.0
16207,12009215.0,5.0,3.0,-5.9311,13.869,-11.23,-3.5561,13.346,-11.966,1.0535,1.0512,0.040376,0.049344,17.0,0.0
16208,12010188.0,1.0,3.0,4.3869,12.057,6.655,6.0522,13.567,7.7082,0.56492,0.56276,0.041464,0.050875,1.0,0.0
16209,12010880.0,1.0,3.0,11.053,7.5715,-3.0011,12.555,8.2725,-1.8955,0.34389,0.34219,0.033851,0.042142,3.0,0.0
16210,12010880.0,3.0,3.0,12.465,8.2304,-1.9618,12.466,8.2296,-1.9622,0.0011379,0.00091324,0.041645,0.041706,3.0,1.0
16211,12011558.0,1.0,3.0,-11.944,-5.8085,5.5427,-11.486,-8.0928,7.3083,0.87172,0.86945,0.045421,0.055914,12.0,0.0
16212,12013416.0,1.0,3.0,-0.49865,-12.932,15.671,0.65254,-15.19,15.782,0.098709,0.093858,0.036877,0.054201,9.0,0.0
16213,12013416.0,3.0,3.0,0.51666,-14.624,16.073,0.56262,-14.636,16.05,0.0039133,0.00090973,0.050181,0.051993,9.0,1.0
16214,12013575.0,1.0,3.0,4.1232,12.19,-11.738,5.6007,14.253,-10.552,0.23207,0.22915,0.040675,0.053547,1.0,0.0
16215,12018159.0,1.0,3.0,11.648,-8.1886,0.37866,10.949,-7.1883,0.15104,0.14331,0.14111,0.035582,0.042214,6.0,0.0
16216,12018805.0,1.0,3.0,7.8148,10.568,4.5706,9.5655,11.968,5.3018,0.3622,0.36043,0.036001,0.045699,2.0,0.0
16217,12018805.0,3.0,3.0,9.5514,11.974,5.2877,7.8189,10.548,4.4821,0.15061,0.14746,0.045896,0.058416,2.0,0.0
16218,12018805.0,5.0,3.0,8.5377,11.139,4.8164,8.5127,11.089,4.848,0.003953,0.0009798,0.053222,0.055453,2.0,1.0
16219,12022149.0,1.0,3.0,-11.515,-5.9875,-4.1293,-13.476,-7.163,-5.1439,0.65898,0.65717,0.041761,0.051035,12.0,0.0
16220,12028710.0,1.0,3.0,12.646,-5.8569,6.5874,11.855,-8.2691,6.5795,0.72685,0.72495,0.044596,0.053893,6.0,0.0
16221,12028793.0,1.0,3.0,-8.0555,-10.028,14.368,-9.3516,-12.038,14.608,0.4178,0.41556,0.032134,0.041734,11.0,0.0
16222,12039260.0,1.0,3.0,5.3159,-12.654,-1.6718,5.9183,-13.892,-2.1855,0.32103,0.31908,0.039721,0.045931,8.0,0.0
16223,12039260.0,3.0,3.0,5.9115,-13.903,-2.1941,3.9553,-14.178,-1.8343,0.25374,0.25199,0.04601,0.055012,8.0,0.0
16224,12041537.0,1.0,3.0,11.395,6.0771,1.0462,12.775,5.9119,-0.41946,0.30023,0.29699,0.039922,0.048597,3.0,0.0
16225,12041537.0,3.0,3.0,11.555,6.058,0.87608,11.555,6.0627,0.87734,0.0013306,0.00086927,0.040929,0.041191,3.0,1.0
16226,12042144.0,1.0,3.0,-12.868,-1.6889,10.597,-15.108,-2.795,10.645,0.47966,0.47767,0.039613,0.04934,13.0,0.0
16227,12049462.0,1.0,3.0,3.5926,-13.566,-16.09,5.9415,-13.85,-15.085,0.54376,0.5415,0.038631,0.048433,8.0,0.0
16228,12049462.0,3.0,3.0,5.1708,-13.757,-15.415,5.1708,-13.757,-15.415,0.0010524,0.00090309,0.045217,0.045217,8.0,1.0
16229,12053965.0,1.0,3.0,8.0566,11.575,2.334,9.3957,12.027,2.8762,0.98907,0.98737,0.0419,0.04727,2.0,0.0
16230,12053965.0,3.0,3.0,9.5005,11.994,2.9026,8.0265,11.535,2.1806,0.1377,0.13356,0.047912,0.05714,2.0,0.0
16231,12056221.0,1.0,3.0,10.322,-10.632,3.9736,8.6439,-12.0,3.4205,0.83725,0.8355,0.043743,0.051798,7.0,0.0
16232,12057699.0,1.0,3.0,-12.726,-1.9312,4.9911,-13.263,-1.3417,4.8446,1.2158,1.2146,0.041168,0.043999,13.0,0.0
16233,12057906.0,1.0,3.0,11.127,-6.3891,-14.55,13.249,-6.3178,-15.291,0.35796,0.35437,0.032867,0.042142,6.0,0.0
16234,12057906.0,3.0,3.0,11.857,-6.3645,-14.805,11.857,-6.3654,-14.807,0.0011353,0.00091248,0.03606,0.036148,6.0,1.0
16235,12059087.0,1.0,3.0,-10.943,-6.9844,-6.3833,-13.294,-7.7127,-7.1032,0.42218,0.41938,0.039617,0.049842,12.0,0.0
16236,12060556.0,1.0,3.0,-8.6974,-9.5851,16.057,-9.1243,-12.07,14.302,0.66381,0.66198,0.034793,0.04617,11.0,0.0
16237,12060556.0,3.0,3.0,-9.1502,-12.068,14.237,-10.332,-10.739,10.128,0.22764,0.22254,0.046495,0.067181,11.0,0.0
16238,12060556.0,5.0,3.0,-10.332,-10.737,10.123,-9.2953,-9.5526,8.6836,0.20193,0.19881,0.067206,0.077408,11.0,0.0
16239,12060556.0,7.0,3.0,-9.2924,-9.552,8.6802,-7.9829,-11.469,8.0481,0.17465,0.16975,0.077437,0.089474,11.0,0.0
16240,12060556.0,9.0,3.0,-7.9843,-11.471,8.0502,-10.332,-10.748,9.6301,0.14355,0.13839,0.089499,0.10509,11.0,0.0
16241,12060556.0,11.0,3.0,-9.2502,-9.6138,8.6598,-9.2525,-9.6147,8.6576,0.0012147,0.00098798,0.077825,0.07799,11.0,1.0
16242,12060556.0,13.0,3.0,-10.138,-10.958,10.803,-10.133,-10.958,10.802,0.0013635,0.00098803,0.06378,0.063999,11.0,1.0
16243,12060556.0,15.0,3.0,-9.2544,-9.5457,15.39,-10.333,-10.765,14.702,0.6938,0.6922,0.034781,0.041291,11.0,0.0
16244,12060556.0,17.0,3.0,-9.2761,-9.5492,15.784,-10.122,-11.503,16.244,1.1212,1.1195,0.035076,0.042727,11.0,0.0
16245,12064023.0,1.0,3.0,8.7822,-9.5627,-14.552,8.4873,-11.043,-16.5,0.28965,0.28711,0.0391,0.049777,7.0,0.0
16246,12065055.0,1.0,3.0,-10.952,-6.8842,-13.035,-13.355,-6.4987,-14.23,0.47336,0.47096,0.036973,0.047556,12.0,0.0
16247,12066970.0,1.0,3.0,-7.7953,10.73,7.9888,-8.678,12.011,8.1906,0.24168,0.23962,0.03309,0.040217,16.0,0.0
16248,12066970.0,3.0,3.0,-8.6885,12.015,8.1926,-9.9305,9.8734,9.6275,0.18754,0.18437,0.040277,0.054276,16.0,0.0
16249,12068905.0,1.0,3.0,-12.631,2.6437,2.4864,-13.716,1.1898,2.3452,0.59404,0.59227,0.035172,0.042018,14.0,0.0
16250,12069194.0,1.0,3.0,9.7414,-9.7274,-7.1912,9.7461,-11.872,-9.5313,0.48631,0.48223,0.045392,0.057722,7.0,0.0
16251,12069519.0,1.0,3.0,10.04,-11.3,-16.5,10.174,-11.416,-16.381,0.13748,0.137,0.040688,0.041847,7.0,0.0
16252,12071269.0,1.0,3.0,5.9246,13.881,5.2074,4.2026,12.141,6.0362,0.28079,0.27851,0.040519,0.051803,1.0,0.0
16253,12071552.0,1.0,3.0,-13.345,-3.5973,-1.6958,-14.647,-3.4652,-2.1364,0.29907,0.29756,0.034276,0.040213,13.0,0.0
16254,12071552.0,3.0,3.0,-14.654,-3.4599,-2.1334,-14.709,-1.4814,-0.69713,0.24311,0.2396,0.040259,0.051351,13.0,0.0
16255,12073021.0,1.0,3.0,-4.9872,11.99,-14.39,-4.6802,14.512,-16.412,0.1406,0.12912,0.032949,0.050445,17.0,0.0
16256,12073021.0,3.0,3.0,-3.6042,13.608,-10.454,-5.0828,14.493,-9.5016,1.2202,1.2181,0.036776,0.04365,17.0,0.0
16257,12074337.0,1.0,3.0,3.5532,13.291,9.7899,6.0293,13.645,8.4015,0.21523,0.21022,0.04055,0.05398,1.0,0.0
16258,12074337.0,3.0,3.0,0.24688,12.854,7.8633,-0.92259,14.973,7.7804,0.78716,0.78475,0.036729,0.045515,0.0,0.0
16259,12074337.0,5.0,3.0,0.21881,12.905,7.8613,0.21787,12.91,7.8872,0.0023781,0.00098917,0.03694,0.038056,0.0,1.0
16260,12075550.0,1.0,3.0,-7.9291,10.23,-9.4978,-9.4976,11.995,-8.1019,0.28164,0.27913,0.026583,0.038551,16.0,0.0
16261,12076952.0,1.0,3.0,12.827,3.1498,15.73,14.18,3.6839,16.1,0.66912,0.66763,0.047773,0.053326,4.0,0.0
16262,12076952.0,3.0,3.0,14.242,3.6674,16.159,14.988,1.8179,15.752,0.17028,0.16685,0.053762,0.064027,4.0,0.0
16263,12076952.0,5.0,3.0,14.91,2.0117,15.795,14.92,2.0139,15.802,0.0029609,0.00074095,0.062951,0.06441,4.0,1.0
16264,12082448.0,1.0,3.0,4.4413,12.038,9.7571,5.4252,12.132,8.9663,0.44774,0.44665,0.048136,0.053126,1.0,0.0
16265,12083036.0,1.0,3.0,0.58834,12.974,-9.5643,-0.044891,15.369,-11.637,0.24373,0.24031,0.029463,0.044103,0.0,0.0
16266,12083036.0,3.0,3.0,-0.038216,15.369,-11.643,-0.19808,12.846,-11.414,0.1506,0.14576,0.044185,0.05752,0.0,0.0
16267,12083036.0,5.0,3.0,-0.036391,12.831,-10.714,0.17635,15.358,-11.509,1.3016,1.2996,0.028306,0.037546,0.0,0.0
16268,12083790.0,1.0,3.0,-10.949,-7.1914,5.335,-12.845,-8.1502,4.5335,0.045044,0.036378,0.034732,0.054823,12.0,0.0
16269,12088881.0,1.0,3.0,-0.23847,-12.853,-15.234,-0.53876,-15.25,-14.198,0.82534,0.82273,0.034613,0.044105,9.0,0.0
16270,12090624.0,1.0,3.0,-0.80043,13.114,0.27643,-0.3495,15.321,0.29427,0.18186,0.17898,0.030464,0.04159,0.0,0.0
16271,12093763.0,1.0,3.0,0.61534,12.989,14.317,-0.50815,15.264,14.136,1.1183,1.1123,0.03202,0.040956,0.0,0.0
16272,12093763.0,3.0,3.0,1.164,13.592,13.957,0.50152,15.267,14.472,1.6209,1.6192,0.033369,0.039804,0.0,0.0
16273,12093763.0,5.0,3.0,0.13243,12.837,13.977,0.27989,15.339,13.483,0.86705,0.86501,0.031369,0.040543,0.0,0.0
16274,12093763.0,7.0,3.0,0.24363,14.724,13.604,0.25278,14.723,13.604,0.0026334,0.00098007,0.038287,0.039027,0.0,1.0
16275,12093763.0,9.0,3.0,0.88141,13.186,13.098,-0.55697,15.241,12.675,0.27375,0.27009,0.03182,0.043003,0.0,0.0
16276,12093763.0,11.0,3.0,0.39521,13.881,12.955,0.41301,13.893,12.951,0.002221,0.00095521,0.0356,0.036686,0.0,1.0
16277,12095365.0,1.0,3.0,-3.6638,13.77,0.66691,-6.0857,13.118,-0.53125,0.24038,0.23724,0.038441,0.051087,17.0,0.0
16278,12096624.0,1.0,3.0,-4.7581,-14.518,-8.6009,-4.8913,-14.518,-8.6093,0.079897,0.07964,0.063863,0.06475,10.0,0.0
16279,12096624.0,3.0,3.0,-4.8915,-14.518,-8.6093,-5.6,-14.254,-8.6808,0.078466,0.076456,0.064751,0.069903,10.0,0.0
16280,12097771.0,1.0,3.0,-11.578,8.1508,3.2164,-12.287,5.7823,4.2023,0.19658,0.19102,0.056975,0.069812,15.0,0.0
